Country,Scotland,England,Wales,Local_Authority,Area_Code,Population_mid_2018,Area_sq_km,Density_People_sq_km,Local_Proportion_Decile_1_Z_Ind_IMD,Females_2018,Lives_In_Communal,BAME_Including_Jews,Over_1_5_Per_Room,Median_Age_2018,Obese_Z_Ind,Current_Smoking_Z_Ind,Ex_Smoker_Z_Ind,Tonnes_Port_Over_750,Passengers_To_From_Pop_Stand_Normalised,Age_Standardised_CVD_Deaths_U75_100000,Diabetes_Prevalence_Z_Ind,RA_Z_Ind,HTN_Z_Ind,COPD_Z_Ind,Cancer_Z_Ind,CKD_Z_Ind,Average_Humid_23_2_1_3_8_3_15_3,Average_tempHighCel_23_2_1_3_8_3_15_3,Coronavirus_Google_010220_190320,Dementia_Z_Ind,Self_Funders_2017,PM_2_5_Total_2018,Death_Registrations_Week_16,Death_Registrations_Week_16_Per_100000,Death_Registrations_Care_Home_Week_16,Death_Registrations_Care_Home_Week_16_Per_100000,Death_Registrations_Hospital_Week_16,Death_Registrations_Hospital_Week_16_Per_100000,Death_Registrations_Home_Week_16,Death_Registrations_Home_Week_16_Per_100000,Death_Registrations_OoHosp_Week_16,Death_Registrations_OoHosp_Week_16_Per_100000
Scotland,1,0,0,Aberdeen City,S12000033,227560,186,1223.441,-0.715,0.502,0.038,0.082,0.009,37.1,-1.551,0.575,-2.176,4138,0.267,94.8,-0.44,0,-0.623,-1.298,-0.945,-0.393,0.738,8.453,1.668,-0.044,0.33,5.9374,747,328.2650729,175,76.90279487,374,164.3522587,198,87.01001934,373,163.9128142
Scotland,1,0,0,Aberdeenshire,S12000034,261470,6313,41.418,-0.853,0.502,0.01,0.016,0.004,43.7,0.388,-1.264,0.356,1131,0.267,75.3,-0.44,0,-0.623,-1.298,-0.945,-0.393,0.728,7.168,-0.559,-0.044,0.34,5.1696,865,330.8218916,229,87.58174934,403,154.1285807,232,88.7291085,462,176.6933109
Scotland,1,0,0,Angus,S12000041,116040,2182,53.181,-0.771,0.513,0.013,0.013,0.005,46.8,,,,0,0.067,73.4,0.626,0,0.308,0.554,-0.273,-0.107,0.788,8.351,-0.559,1.35,0.37,5.584,459,395.5532575,108,93.07135471,198,170.630817,153,131.8510858,261,224.9224405
Scotland,1,0,0,Argyll and Bute,S12000035,86260,6909,12.485,-0.36,0.502,0.028,0.013,0.005,49.3,,,,5943,0.2,86.7,-0.013,0.955,0.636,-0.769,1.07,0.608,0.835,6.225,-0.559,0.653,0.28,4.4557,376,435.8914908,77,89.26501275,155,179.6893114,144,166.9371667,221,256.2021795
Scotland,1,0,0,City of Edinburgh,S12000005,518500,263,1971.483,-0.334,0.512,0.03,0.084,0.008,36.4,-2.326,-0.651,-1.226,0,1,105,-1.506,-0.955,-1.17,-0.769,-0.273,-1.108,0.823,8.361,1.74,-0.044,0.51,6.6986,1507,290.6460945,461,88.91031823,643,124.0115718,403,77.72420444,864,166.6345227
Scotland,1,0,0,Clackmannanshire,S12000006,51400,159,323.27,0.215,0.509,0.019,0.016,0.006,44.7,,,,0,0,93.2,-0.013,-0.955,-0.075,0.025,-0.273,0.179,0.84,7.018,-0.559,-0.044,0.23,5.882,208,404.6692607,62,120.6225681,82,159.5330739,62,120.6225681,126,245.1361868
Scotland,1,0,0,Dumfries and Galloway,S12000042,148790,6427,23.151,-0.282,0.514,0.013,0.012,0.004,49.3,0.775,0.268,0.04,5403,0,118.5,1.906,0.955,1.184,1.877,1.742,-0.107,0.798,8.561,-0.559,1.35,0.16,5.4316,667,448.2828147,130,87.37146314,332,223.1332751,205,137.7780765,335,225.1495396
Scotland,1,0,0,Dundee City,S12000008,148750,60,2479.167,1.878,0.517,0.035,0.06,0.007,37,,,,0,0.2,116.9,0.626,0,0.308,0.554,-0.273,-0.107,0.85,6.297,-0.559,1.35,0.28,5.9133,616,414.1176471,122,82.01680672,299,201.0084034,195,131.092437,317,213.1092437
Scotland,1,0,0,East Ayrshire,S12000045,121840,1262,96.545,0.872,0.515,0.012,0.012,0.005,44.5,1.163,0.268,0.673,0,0.067,70.4,1.692,0.955,1.02,1.348,1.406,2.324,0.853,7.801,-0.559,-0.044,0.2,5.6243,505,414.4780039,92,75.50886408,243,199.441891,170,139.5272489,262,215.0361129
Scotland,1,0,0,East Dunbartonshire,S12000010,108330,174,622.586,-0.652,0.516,0.006,0.043,0.004,46.2,,,,0,0.2,76,-0.653,-0.955,-0.951,0.554,-0.945,-0.679,0.76,8.492,-0.559,-1.437,0.62,5.9697,396,365.5497092,121,111.6957445,164,151.3892735,111,102.4646912,232,214.1604357
Scotland,1,0,0,East Lothian,S12000011,105790,679,155.803,-0.744,0.521,0.019,0.018,0.005,44.5,,,,0,0.267,69.2,-1.506,-0.955,-1.17,-0.769,-0.273,-1.108,0.86,6.586,-0.559,-0.044,0.38,6.0804,368,347.8589659,92,86.96474147,175,165.4220626,101,95.47216183,193,182.4369033
Scotland,1,0,0,East Renfrewshire,S12000036,95170,174,546.954,-0.73,0.522,0.006,0.085,0.004,43.6,,,,0,0.2,84.9,-0.653,-0.955,-0.951,0.554,-0.945,-0.679,0.793,8.044,-0.559,-1.437,0.48,5.8314,300,315.2253862,87,91.41536198,118,123.9886519,95,99.82137228,182,191.2367343
Scotland,1,0,0,Falkirk,S12000013,160340,297,539.865,-0.211,0.51,0.012,0.019,0.005,43.3,,,,26587,0.2,101.9,-0.013,-0.955,-0.075,0.025,-0.273,0.179,0.79,7.569,-0.559,-0.044,0.21,6.0821,602,375.4521642,157,97.91692653,262,163.4027691,183,114.1324685,340,212.049395
Scotland,1,0,0,Fife,S12000014,371910,1325,280.687,-0.022,0.514,0.021,0.024,0.004,43.7,0.194,0.268,0.04,0,0.2,105.3,1.053,0.955,0.417,0.289,-0.273,0.751,0.825,7.956,-0.559,-0.044,0.35,5.8684,1311,352.5046382,297,79.85803017,626,168.3202925,388,104.3263155,685,184.1843457
Scotland,1,0,0,Glasgow City,S12000015,626410,175,3579.486,2.637,0.511,0.025,0.117,0.015,35.6,-0.582,1.8,-0.91,0,0.333,95.1,-0.653,-0.955,-0.951,0.554,-0.945,-0.679,0.78,8.626,1.525,-1.437,0.17,6.5029,2112,337.1593685,528,84.28984212,896,143.0373078,683,109.0340193,1216,194.1220606
Scotland,1,0,0,Highland,S12000046,235540,25657,9.18,-0.434,0.51,0.016,0.014,0.005,46.4,,0.268,0.673,0,0.267,143.7,-0.013,0.955,0.636,-0.769,1.07,0.608,0.83,8.164,-0.559,0.653,0.3,3.842,875,371.4867963,216,91.70416914,370,157.0858453,289,122.6967819,505,214.400951
Scotland,1,0,0,Inverclyde,S12000017,78150,160,488.438,2.771,0.521,0.015,0.014,0.006,46,,,,9087,0.2,83.3,-0.653,-0.955,-0.951,0.554,-0.945,-0.679,0.803,6.714,-0.559,-1.437,0.28,4.9233,392,501.5994882,102,130.5182342,169,216.2507997,121,154.8304543,223,285.3486884
Scotland,1,0,0,Midlothian,S12000018,91340,354,258.023,-0.617,0.519,0.011,0.018,0.006,41.8,,,,0,0.2,104.1,-1.506,-0.955,-1.17,-0.769,-0.273,-1.108,0.883,6.406,-0.559,-0.044,0.37,6.1809,291,318.589884,81,88.67965842,137,149.9890519,73,79.92117364,154,168.6008321
Scotland,1,0,0,Moray,S12000019,95520,2238,42.681,-0.829,0.505,0.022,0.012,0.005,45.2,,,,0,0.2,80.3,-0.44,0,-0.623,-1.298,-0.945,-0.393,0.793,7.318,-0.559,-0.044,0.32,4.5095,345,361.1809045,65,68.04857621,153,160.1758794,127,132.9564489,192,201.0050251
Scotland,1,0,0,Na h-Eileanan Siar,S12000020,26830,3059,8.771,-0.922,0.506,0.013,0.009,0.002,49,0,-0.958,1.306,0,0,80.8,0.413,2.865,3.264,-0.769,2.078,1.895,0.728,8.161,-0.559,2.743,0.11,3.1299,127,473.3507268,45,167.7226985,51,190.0857249,31,115.5423034,76,283.2650019
Scotland,1,0,0,North Ayrshire,S12000021,135280,885,152.859,0.965,0.524,0.011,0.011,0.005,46.4,0.582,1.187,0.989,0,0.133,107.3,1.692,0.955,1.02,1.348,1.406,2.324,0.835,8.093,-0.559,-0.044,0.26,5.305,578,427.2619752,121,89.44411591,290,214.3701952,166,122.7084565,288,212.89178
Scotland,1,0,0,North Lanarkshire,S12000044,340180,470,723.787,0.648,0.515,0.007,0.021,0.008,41.4,0.582,1.494,0.356,0,0.133,115.8,0.84,0,-0.021,0.819,-0.609,-0.107,0.84,7.221,-0.559,-0.044,0.15,6.2854,1285,377.7411958,250,73.49050503,569,167.2643894,459,134.9285672,716,210.4768064
Scotland,1,0,0,Orkney Islands,S12000023,22190,989,22.437,-0.922,0.503,0.009,0.007,0.002,47.8,0,-1.877,0.673,3470,0,82.6,0.2,0.955,1.129,-1.298,-0.609,-1.108,0.833,7.186,-0.559,-1.437,0.19,3.3846,75,337.9900856,9,40.55881027,4,18.0261379,62,279.4051374,71,319.9639477
