Country,Scotland,England,Wales,Local_Authority,Area_Code,Population_mid_2018,Area_sq_km,Density_People_sq_km,Local_Proportion_Decile_1_Z_Ind_IMD,Females_2018,Lives_In_Communal,BAME_Including_Jews,Over_1_5_Per_Room,Median_Age_2018,Obese_Z_Ind,Current_Smoking_Z_Ind,Ex_Smoker_Z_Ind,Tonnes_Port_Over_750,Passengers_To_From_Pop_Stand_Normalised,Age_Standardised_CVD_Deaths_U75_100000,Diabetes_Prevalence_Z_Ind,RA_Z_Ind,HTN_Z_Ind,COPD_Z_Ind,Cancer_Z_Ind,CKD_Z_Ind,Average_Humid_23_2_1_3_8_3_15_3,Average_tempHighCel_23_2_1_3_8_3_15_3,Coronavirus_Google_010220_190320,Dementia_Z_Ind,Self_Funders_2017,PM_2_5_Total_2018,Death_Registrations_Covid_Week_16,Death_Registrations_Covid_Week_16_Per_100000,Death_Registrations_Care_Home_Covid_Week_16,Death_Registrations_Care_Home_Covid_Week_16_Per_100000,Death_Registrations_Hospital_Covid_Week_16,Death_Registrations_Hospital_Covid_Week_16_Per_100000,Death_Registrations_Home_Covid_Week_16,Death_Registrations_Home_Covid_Week_16_Per_100000,Death_Registrations_OoHosp_Week_16,Death_Registrations_OoHosp_Week_16_Per_100000
England,0,1,0,Stockton-on-Tees,E06000004,197213,205,962.015,1.291,0.507,0.019,0.054,0.003,40.4,1.645,-0.089,0.062,0,0,74.6,-0.636,-0.066,-0.218,0.012,-0.193,-0.437,0.74,9.492,1.417,0.938,0.219,7.6095,36,18.254,8,4.057,23,11.663,5,2.535,13,6.592
England,0,1,0,Darlington,E06000005,106566,197,540.944,1.065,0.513,0.014,0.038,0.003,43.1,2.058,0.912,0.544,0,0,73.3,0.148,0.761,0.182,0.347,0.878,-0.007,0.74,8.978,-0.559,0.944,0.219,7.1363,26,24.398,4,3.754,21,19.706,1,0.938,5,4.692
England,0,1,0,Halton,E06000006,128432,79,1625.722,2.32,0.512,0.007,0.022,0.003,41,1.983,0.912,0.557,0,0.133,91.2,-0.008,1.493,0.675,0.545,1.57,-0.705,0.765,9.143,-0.559,-0.528,0.39,8.6189,47,36.595,8,6.229,38,29.588,1,0.779,9,7.008
England,0,1,0,Warrington,E06000007,209547,181,1157.718,0.058,0.503,0.017,0.041,0.003,42.2,0.142,-0.423,-0.083,0,0.133,74.2,-0.811,0.095,0.57,-0.266,-0.008,-0.389,0.758,9.485,1.489,-0.052,0.39,8.2857,67,31.974,34,16.225,33,15.748,0,0,34,16.225
England,0,1,0,Blackburn with Darwen,E06000008,148942,137,1087.168,2.759,0.499,0.011,0.309,0.010,36.3,0.651,0.912,-0.878,0,0,115.7,1.571,-0.016,-0.527,0.1,-0.108,-0.701,0.835,7.114,-0.559,-0.765,0.39,7.8752,29,19.471,0,0,27,18.128,2,1.343,2,1.343
England,0,1,0,Blackpool,E06000009,139305,35,3980.143,3.256,0.504,0.029,0.035,0.004,43.5,2.026,2.915,0.926,0,0,120.7,1.2,0.796,1.042,2.321,0.954,0.289,0.81,8.269,-0.559,1.133,0.39,7.195,31,22.253,2,1.436,26,18.664,1,0.718,5,3.589
England,0,1,0,"Kingston upon Hull, City of",E06000010,260645,71,3671.056,3.607,0.496,0.014,0.059,0.006,35.6,0.706,2.581,-0.157,9752,0,105.2,-0.892,0.662,-0.502,0.569,0.667,-1.012,0.723,10.658,1.13,-0.347,0.403,9.7553,29,11.126,9,3.453,18,6.906,2,0.767,11,4.22
England,0,1,0,East Riding of Yorkshire,E06000011,339614,2405,141.212,-0.102,0.509,0.022,0.02,0.002,48.8,1.04,-0.757,0.36,11528,0,68.6,0.623,1.263,0.895,0.53,1.406,0.901,0.743,9.732,-0.559,1.043,0.403,8.335,54,15.9,10,2.945,39,11.484,4,1.178,15,4.417
England,0,1,0,North East Lincolnshire,E06000012,159821,192,832.401,2.181,0.509,0.011,0.027,0.003,42.4,1.218,1.913,0.778,55617,0,88.7,0.245,0.552,0.569,1.374,0.451,0.071,0.75,10.056,-0.559,0.554,0.403,9.2382,17,10.637,1,0.626,16,10.011,0,0,1,0.626
England,0,1,0,North Lincolnshire,E06000013,172005,846,203.316,0.345,0.505,0.009,0.04,0.003,44.1,0.857,0.912,0.051,1109,0,72.9,0.31,0.437,1.062,0.788,0.27,,0.738,10.276,-0.559,0.151,0.403,9.0144,12,6.977,0,0,12,6.977,0,0,0,0
England,0,1,0,York,E06000014,209893,272,771.665,-0.612,0.51,0.039,0.058,0.004,37.6,-0.728,-1.09,-0.572,0,0,62.5,-2.349,-0.439,-1.236,-1.015,-0.444,-0.352,0.735,9.971,1.597,-0.324,0.403,8.0918,40,19.057,5,2.382,28,13.34,6,2.859,12,5.717
England,0,1,0,Derby,E06000015,257174,78,3297.103,0.821,0.505,0.017,0.197,0.010,36.9,0.103,0.912,-0.756,0,0,82.5,0.276,-0.009,0.777,-0.051,-0.098,-0.445,0.775,10.282,1.74,-0.005,0.495,9.2605,134,52.105,28,10.888,93,36.162,5,1.944,41,15.943
