Country,Scotland,England,Wales,Local_Authority,Area_Code,Population_mid_2018,Area_sq_km,Density_People_sq_km,Local_Proportion_Decile_1_Z_Ind_IMD,Females_2018,Lives_In_Communal,BAME_Including_Jews,Over_1_5_Per_Room,Median_Age_2018,Obese_Z_Ind,Current_Smoking_Z_Ind,Ex_Smoker_Z_Ind,Tonnes_Port_Over_750,Passengers_To_From_Pop_Stand_Normalised,Age_Standardised_CVD_Deaths_U75_100000,Diabetes_Prevalence_Z_Ind,RA_Z_Ind,HTN_Z_Ind,COPD_Z_Ind,Cancer_Z_Ind,CKD_Z_Ind,Average_Humid_23_2_1_3_8_3_15_3,Average_tempHighCel_23_2_1_3_8_3_15_3,Coronavirus_Google_010220_190320,Dementia_Z_Ind,Self_Funders_2017,PM_2_5_Total_2018,Death_Registrations_Covid_Week_16,Death_Registrations_Covid_Week_16_Per_100000,Death_Registrations_Care_Home_Covid_Week_16,Death_Registrations_Care_Home_Covid_Week_16_Per_100000,Death_Registrations_Hospital_Covid_Week_16,Death_Registrations_Hospital_Covid_Week_16_Per_100000,Death_Registrations_Home_Covid_Week_16,Death_Registrations_Home_Covid_Week_16_Per_100000,Death_Registrations_OoHosp_Week_16,Death_Registrations_OoHosp_Week_16_Per_100000
England,0,1,0,Cheshire East,E06000049,380790,1166,326.578,-0.528,0.511,0.014,0.034,0.003,46.2,-0.478,-0.757,0.134,0,0.133,61.7,0.07,0.595,0.27,-0.107,0.492,0.472,0.808,8.696,-0.559,0.981,0.39,7.1494,137,35.978,29,7.616,100,26.261,5,1.313,37,9.717
England,0,1,0,Cheshire West and Chester,E06000050,340502,917,371.322,0.027,0.513,0.01,0.027,0.002,44.4,0.609,-0.423,0.125,0,0.133,68.8,-0.143,1.906,0.357,0.24,2.043,0.195,0.765,9.514,-0.559,0.227,0.39,7.3481,105,30.837,15,4.405,86,25.257,4,1.175,19,5.58
England,0,1,0,Shropshire,E06000051,320274,3197,100.18,-0.592,0.504,0.026,0.021,0.003,47.4,0.681,-0.757,0.253,0,0,60.3,0.842,1.093,0.582,0.755,1.143,0.717,0.773,10.292,-0.559,1.7,0.414,7.1781,56,17.485,14,4.371,36,11.24,5,1.561,20,6.245
England,0,1,0,Cornwall,E06000052,565968,3546,159.607,-0.195,0.514,0.017,0.018,0.004,47.2,-0.073,0.245,1.353,0,0,67,1.531,0.749,1.117,1.828,0.871,0.877,0.845,9.653,-0.559,0.059,0.498,6.5243,90,15.902,20,3.534,64,11.308,6,1.06,26,4.594
England,0,1,0,Isles of Scilly,E06000053,2242,16,140.125,-0.691,0.5,0.036,0.014,0.009,48,,,0.912,0,0,,,,,0.408,,0.914,0.79,10.526,-0.559,-1.473,0.498,5.1312,0,0,0,0,0,0,0,0,0,0
England,0,1,0,Wiltshire,E06000054,498064,3255,153.015,-0.658,0.506,0.028,0.035,0.003,44.6,-0.376,-0.757,1.162,0,0,55.9,-0.344,0.659,-0.098,0.014,0.623,0.219,0.84,9.865,-0.559,0.662,0.498,8.8985,114,22.889,39,7.83,69,13.854,6,1.205,45,9.035
England,0,1,0,Bedford,E06000055,171623,476,360.553,-0.322,0.507,0.019,0.196,0.009,40.2,0.207,0.245,-0.462,0,0,70.4,0.748,0.113,-0.513,-0.36,-0.007,-0.214,0.78,10.878,-0.559,-0.776,0.455,10.2258,47,27.386,4,2.331,40,23.307,3,1.748,7,4.079
England,0,1,0,Central Bedfordshire,E06000056,283606,716,396.098,-0.691,0.507,0.009,0.063,0.003,41.3,0.114,-0.423,0.803,0,0,56.7,-1.416,0.177,-0.126,-0.855,0.086,-0.346,0.79,10.818,-0.559,-0.879,0.455,10.1658,85,29.971,8,2.821,73,25.74,4,1.41,12,4.231
England,0,1,0,Northumberland,E06000057,320274,5014,63.876,0.42,0.512,,0.016,0.002,48,2.091,-0.423,0.396,4404,0,71.2,1.04,2.557,1.182,0.758,2.472,0.508,0.813,6.946,-0.559,1.103,0.219,6.0358,82,25.603,15,4.683,62,19.358,3,0.937,20,6.245
England,0,1,0,"Bournemouth, Christchurch and Poole",E06000058,395784,161,2458.286,-0.324,0.503,,,,42.4,,,,832,0,,,,,,,,,,2.064,,,9.4335,51,12.886,8,2.021,40,10.107,2,0.505,11,2.779
England,0,1,0,Dorset,E06000059,376484,2491,151.138,-0.43,0.511,,,,50.5,,,,0,0,,,,,,,,,,-0.559,,,,59,15.671,14,3.719,41,10.89,2,0.531,18,4.781
England,0,1,0,Aylesbury Vale,E07000004,199448,903,220.873,-0.691,0.506,0.02,0.106,0.007,40.3,-1.37,-0.423,-0.131,0,0.267,56.2,-0.619,-0.335,-0.686,-1.112,-0.376,-0.44,0.813,10.101,-0.559,,0.619,10.1362,40,20.055,13,6.518,25,12.535,0,0,15,7.521
England,0,1,0,Chiltern,E07000005,95927,196,489.423,-0.691,0.514,0.008,0.09,0.005,45.1,-1.37,-1.758,0.073,0,0.267,46.1,-0.619,-0.335,0.001,-0.727,-0.376,0.79,0.813,10.256,-0.559,,0.619,10.29,52,54.208,14,14.594,35,36.486,2,2.085,17,17.722
England,0,1,0,South Bucks,E07000006,70043,141,496.759,-0.691,0.517,0.016,0.161,0.003,44.8,-1.37,-1.09,-0.558,0,0.267,50.2,-0.619,-0.335,0.241,-0.472,-0.376,0.8,0.785,11.047,-0.559,,0.619,10.936,23,32.837,1,1.428,22,31.409,0,0,1,1.428
England,0,1,0,Wycombe,E07000007,174641,325,537.357,-0.691,0.509,0.016,0.19,0.009,41.2,-1.37,-0.757,-0.463,0,0.267,49.3,-0.619,-0.335,-0.648,-0.961,-0.376,-0.239,0.82,10.351,-0.559,,0.619,10.563,46,26.34,13,7.444,32,18.323,1,0.573,14,8.016
England,0,1,0,Cambridge,E07000008,125758,41,3067.268,-0.691,0.482,0.133,0.181,0.013,30.6,-0.995,-1.09,-2.737,0,0,68.7,-1.274,-0.005,-2.865,-2.06,-0.083,-1.716,0.77,11.465,2.207,-0.67,0.455,10.4462,17,13.518,3,2.386,14,11.132,0,0,3,2.386
England,0,1,0,East Cambridgeshire,E07000009,89362,651,137.269,-0.691,0.509,0.009,0.039,0.003,43,-0.995,-0.089,0.915,0,0,65,-1.274,-0.005,-0.294,-0.016,-0.083,-0.006,0.76,11.61,-0.559,-0.67,0.455,9.8841,17,19.024,4,4.476,11,12.309,2,2.238,6,6.714
England,0,1,0,Fenland,E07000010,101491,546,185.881,0.001,0.505,0.014,0.029,0.006,44.8,-0.995,1.913,0.762,0,0,79.4,-1.274,-0.005,1.204,1.682,-0.083,0.651,0.763,11.536,-0.559,-0.67,0.455,9.9367,18,17.736,0,0,17,16.75,1,0.985,1,0.985
England,0,1,0,Huntingdonshire,E07000011,177352,906,195.753,-0.691,0.5,0.015,0.053,0.004,43.3,-0.995,-0.423,0.773,0,0,53.4,-1.274,-0.005,-0.104,-0.617,-0.083,-0.323,0.77,11.268,-0.559,-0.67,0.455,10.0678,23,12.969,2,1.128,19,10.713,1,0.564,4,2.255
England,0,1,0,South Cambridgeshire,E07000012,157519,902,174.633,-0.691,0.505,0.013,0.069,0.004,42.9,-0.995,-1.758,-0.296,0,0,43.5,-1.274,-0.005,-0.498,-0.952,-0.083,-0.051,0.773,11.479,-0.559,-0.67,0.455,9.9428,22,13.967,3,1.905,18,11.427,1,0.635,4,2.539
England,0,1,0,Allerdale,E07000026,97527,1242,78.524,0.419,0.507,0.015,0.011,0.002,47.8,0.431,-0.089,0.494,0,0,77.8,1.045,1.688,1.04,1.257,1.668,0.718,0.838,7.542,-0.559,0.961,0.39,5.3887,32,32.811,1,1.025,26,26.659,4,4.101,6,6.152
England,0,1,0,Barrow-in-Furness,E07000027,67137,78,860.731,1.639,0.506,0.01,0.017,0.002,44.9,0.431,0.578,0.84,0,0,85.6,1.045,1.688,0.851,1.531,1.668,0.222,0.818,7.863,-0.559,0.961,0.39,7.3456,37,55.111,4,5.958,32,47.664,1,1.489,5,7.447
England,0,1,0,Carlisle,E07000028,108387,1039,104.319,-0.132,0.512,0.013,0.019,0.003,44.8,0.431,0.578,0.261,0,0,79,1.045,1.688,0.455,0.779,1.668,0.198,0.833,7.368,-0.559,0.961,0.39,6.2001,41,37.827,2,1.845,35,32.292,2,1.845,6,5.536
England,0,1,0,Copeland,E07000029,68424,732,93.475,-0.109,0.5,0.018,0.016,0.002,46.7,0.431,0.245,-0.692,0,0,86,1.045,1.688,1.216,1.162,1.668,0.287,0.883,5.486,-0.559,0.961,0.39,5.5294,25,36.537,2,2.923,19,27.768,4,5.846,6,8.769
England,0,1,0,Eden,E07000030,52881,2142,24.688,-0.691,0.505,0.018,0.011,0.002,50.3,0.431,-0.757,-0.359,0,0,60,1.045,1.688,0.978,0.793,1.668,1.006,0.825,7.035,-0.559,0.961,0.39,5.6199,17,32.148,1,1.891,15,28.366,1,1.891,2,3.782
England,0,1,0,South Lakeland,E07000031,104532,1534,68.143,-0.691,0.509,0.03,0.017,0.002,50.9,0.431,-1.424,-0.154,0,0,44.6,1.045,1.688,1.465,0.556,1.668,1.514,0.848,6.838,-0.559,0.961,0.39,5.8156,82,78.445,22,21.046,52,49.746,7,6.697,30,28.699
England,0,1,0,Amber Valley,E07000032,126678,265,478.03,-0.325,0.509,0.009,0.019,0.002,46,0.809,-0.423,0.115,0,0,69.1,0.153,0.547,0.78,0.403,0.369,0.268,0.785,9.565,-0.559,0.745,0.495,7.9524,37,29.208,4,3.158,30,23.682,0,0,7,5.526
England,0,1,0,Bolsover,E07000033,79530,160,497.063,-0.294,0.506,0.008,0.019,0.003,44,0.809,1.246,0.366,0,0,59.6,0.153,0.547,1.144,1.112,0.369,0.074,0.763,9.128,-0.559,0.745,0.495,8.1978,14,17.603,2,2.515,12,15.089,0,0,2,2.515
England,0,1,0,Chesterfield,E07000034,104628,66,1585.273,0.137,0.51,0.011,0.035,0.003,44.5,0.809,0.578,0.755,0,0,89.9,0.153,0.547,0.684,1.155,0.369,0.203,0.753,9.554,-0.559,0.745,0.495,7.4131,25,23.894,5,4.779,18,17.204,2,1.912,7,6.69
England,0,1,0,Derbyshire Dales,E07000035,71977,792,90.88,-0.469,0.508,0.022,0.015,0.002,50.8,0.809,-1.758,0.206,0,0,43.5,0.153,0.547,0.711,0.51,0.369,1.187,0.838,7.311,-0.559,0.745,0.495,6.6351,21,29.176,3,4.168,17,23.619,1,1.389,4,5.557
England,0,1,0,Erewash,E07000036,115490,110,1049.909,-0.17,0.51,0.01,0.03,0.002,43.7,0.809,0.245,0.685,0,0,71.3,0.153,0.547,0.308,0.413,0.369,0.052,0.778,9.856,-0.559,0.745,0.495,9.0853,35,30.306,6,5.195,26,22.513,1,0.866,9,7.793
England,0,1,0,High Peak,E07000037,92221,539,171.096,-0.208,0.507,0.011,0.022,0.002,45.9,0.809,-0.089,1.155,0,0,58.9,0.153,0.547,-0.22,0.007,0.369,-0.035,0.91,4.717,-0.559,0.745,0.495,6.6028,35,37.952,11,11.928,23,24.94,1,1.084,12,13.012
England,0,1,0,North East Derbyshire,E07000038,101125,276,366.395,-0.238,0.511,0.008,0.02,0.002,47.6,0.809,-0.757,0.887,0,0,62.6,0.153,0.547,1.093,0.145,0.369,0.711,0.778,9.125,-0.559,0.745,0.495,7.4403,44,43.511,17,16.811,20,19.778,6,5.933,24,23.733
England,0,1,0,South Derbyshire,E07000039,104493,338,309.151,-0.691,0.507,0.016,0.044,0.002,42.2,0.809,-0.423,-0.125,0,0,54.6,0.153,0.547,-0.175,-0.558,0.369,-0.394,0.78,10.283,-0.559,0.745,0.495,8.4575,32,30.624,4,3.828,28,26.796,0,0,4,3.828
England,0,1,0,East Devon,E07000040,144317,814,177.294,-0.691,0.517,0.022,0.017,0.003,50.9,-0.255,-1.424,0.925,0,0,45.5,0.869,0.544,1.604,1.073,0.368,2.527,0.848,9.503,-0.559,0.948,0.498,6.3927,11,7.622,5,3.465,6,4.158,0,0,5,3.465
England,0,1,0,Exeter,E07000041,130428,47,2775.064,-0.691,0.503,0.051,0.071,0.006,33.7,-0.255,-0.423,0.42,0,0,63,0.869,0.544,-1.765,-0.813,0.368,-0.708,0.808,10.856,1.956,0.948,0.498,7.4919,24,18.401,9,6.9,14,10.734,1,0.767,10,7.667
England,0,1,0,Mid Devon,E07000042,81695,913,89.48,-0.691,0.512,0.011,0.014,0.003,46.5,-0.255,-0.423,0.904,0,0,51.9,0.869,0.544,0.505,0.684,0.368,0.725,0.833,9.653,-0.559,0.948,0.498,6.5358,4,4.896,0,0,3,3.672,1,1.224,1,1.224
England,0,1,0,North Devon,E07000043,96110,1086,88.499,-0.199,0.509,0.022,0.021,0.003,47.6,-0.255,-0.089,0.62,0,0,72.5,0.869,0.544,0.91,1.518,0.368,1.091,0.86,8.979,-0.559,0.948,0.498,6.5491,9,9.364,3,3.121,6,6.243,0,0,3,3.121
England,0,1,0,South Hams,E07000044,86221,886,97.315,-0.691,0.517,0.016,0.018,0.003,51.2,-0.255,-1.09,1.396,0,0,47.8,0.869,0.544,0.874,1.039,0.368,1.416,0.843,10.089,-0.559,0.948,0.498,5.8612,5,5.799,0,0,5,5.799,0,0,0,0
England,0,1,0,Teignbridge,E07000045,132844,674,197.098,-0.691,0.516,0.023,0.017,0.003,49.2,-0.255,-0.423,1.088,0,0,56.2,0.869,0.544,0.926,1.417,0.368,1.435,0.843,9.713,-0.559,0.948,0.498,6.317,13,9.786,2,1.506,11,8.28,0,0,2,1.506
England,0,1,0,Torridge,E07000046,68143,984,69.251,-0.691,0.51,0.015,0.013,0.002,50.2,-0.255,-0.423,1.882,0,0,65.7,0.869,0.544,1.455,1.826,0.368,1.304,0.855,9.212,-0.559,0.948,0.498,6.2524,7,10.273,2,2.935,4,5.87,1,1.468,3,4.403
England,0,1,0,West Devon,E07000047,55528,1160,47.869,-0.691,0.511,0.031,0.016,0.002,50.8,-0.255,-1.09,0.605,0,0,59.7,0.869,0.544,1.131,1.084,0.368,1.293,0.96,6.607,-0.559,0.948,0.498,5.6718,6,10.805,2,3.602,3,5.403,1,1.801,3,5.403
England,0,1,0,Eastbourne,E07000061,103160,44,2344.545,-0.067,0.515,0.025,0.061,0.007,45.7,-0.537,0.245,1.296,0,0.267,60.2,1.181,0.638,0.968,1.787,0.57,1.232,0.82,10.947,-0.559,1.8,0.619,9.9823,26,25.204,10,9.694,15,14.541,0,0,11,10.663
England,0,1,0,Hastings,E07000062,92855,30,3095.167,2.181,0.511,0.019,0.064,0.007,43,-0.537,2.247,1.799,0,0.267,103.1,1.181,0.638,0.298,1.847,0.57,-0.138,0.805,11.279,-0.559,1.8,0.619,10.2415,6,6.462,0,0,5,5.385,0,0,1,1.077
England,0,1,0,Lewes,E07000063,102744,292,351.863,-0.691,0.514,0.017,0.037,0.003,47.7,-0.537,-0.423,1.868,689,0.267,48.5,1.181,0.638,0.892,1.212,0.57,1.392,0.818,10.876,-0.559,1.8,0.619,9.5525,31,30.172,8,7.786,23,22.386,0,0,8,7.786
England,0,1,0,Rother,E07000064,95656,509,187.929,-0.363,0.518,0.027,0.031,0.005,52.8,-0.537,-0.423,1.617,0,0.267,45.2,1.181,0.638,1.889,1.943,0.57,2.69,0.81,11.151,-0.559,1.8,0.619,9.3904,12,12.545,0,0,10,10.454,0,0,2,2.091
England,0,1,0,Wealden,E07000065,160175,833,192.287,-0.691,0.518,0.019,0.027,0.003,48.8,-0.537,-1.09,1.418,0,0.267,46.7,1.181,0.638,0.753,1.098,0.57,1.421,0.813,11.097,-0.559,1.8,0.619,9.4021,31,19.354,3,1.873,27,16.857,0,0,4,2.497
England,0,1,0,Basildon,E07000066,185862,110,1689.655,0.347,0.515,0.006,0.076,0.007,39.3,-0.485,0.578,0.159,0,0,71.1,-0.206,0.611,0.163,0.209,0.532,-0.282,0.748,12.137,1.668,0.04,0.455,10.5939,73,39.276,0,0,72,38.738,1,0.538,1,0.538
England,0,1,0,Braintree,E07000067,151561,612,247.649,-0.691,0.51,0.011,0.035,0.003,43.5,-0.485,-0.089,0.846,0,0,64.3,-0.206,0.611,0.17,-0.114,0.532,-0.13,0.763,11.551,-0.559,0.04,0.455,10.1371,33,21.773,1,0.66,31,20.454,1,0.66,2,1.32
England,0,1,0,Brentwood,E07000068,76550,153,500.327,-0.691,0.514,0.011,0.068,0.003,43.3,-0.485,-1.424,-0.298,0,0,47.5,-0.206,0.611,-0.392,-0.939,0.532,0.596,0.75,11.665,-0.559,0.04,0.455,10.6177,37,48.334,2,2.613,33,43.109,2,2.613,4,5.225
England,0,1,0,Castle Point,E07000069,90070,45,2001.556,-0.524,0.514,0.007,0.033,0.002,46.9,-0.485,-0.089,1.433,0,0,64.8,-0.206,0.611,1.147,0.445,0.532,0.931,0.758,11.668,-0.559,0.04,0.455,10.251,33,36.638,1,1.11,29,32.197,3,3.331,4,4.441
England,0,1,0,Chelmsford,E07000070,177079,339,522.357,-0.691,0.507,0.013,0.063,0.004,41.7,-0.485,-1.09,-0.149,0,0,53,-0.206,0.611,-0.448,-0.881,0.532,-0.133,0.753,12.05,-0.559,0.04,0.455,10.4888,54,30.495,2,1.129,51,28.801,1,0.565,3,1.694
England,0,1,0,Colchester,E07000071,192523,329,585.176,-0.601,0.503,0.035,0.081,0.004,37.9,-0.485,-0.089,-0.084,0,0,55.6,-0.206,0.611,-0.622,-0.738,0.532,-0.486,0.76,11.711,-0.559,0.04,0.455,10.2719,31,16.102,3,1.558,26,13.505,1,0.519,5,2.597
England,0,1,0,Epping Forest,E07000072,131137,339,386.835,-0.691,0.517,0.008,0.126,0.004,42.7,-0.485,-0.089,0.182,0,0,51.9,-0.206,0.611,-0.004,-0.24,0.532,0.291,0.765,11.439,-0.559,0.04,0.455,10.8349,79,60.242,11,8.388,66,50.329,1,0.763,13,9.913
England,0,1,0,Harlow,E07000073,86594,31,2793.355,-0.691,0.514,0.005,0.112,0.008,37.5,-0.485,1.58,-0.429,0,0,89.7,-0.206,0.611,-0.409,-0.176,0.532,-0.482,0.768,11.611,-0.559,0.04,0.455,10.4542,37,42.728,1,1.155,35,40.419,1,1.155,2,2.31
England,0,1,0,Maldon,E07000074,64425,359,179.457,-0.691,0.508,0.009,0.021,0.002,48.7,-0.485,-0.423,1.228,0,0,62.3,-0.206,0.611,0.743,0.59,0.532,0.64,0.755,11.963,-0.559,0.04,0.455,9.7416,14,21.731,0,0,14,21.731,0,0,0,0
England,0,1,0,Rochford,E07000075,86981,169,514.68,-0.691,0.51,0.007,0.031,0.003,46.1,-0.485,-1.09,1.399,0,0,45.5,-0.206,0.611,0.566,-0.322,0.532,0.747,0.755,12.135,-0.559,0.04,0.455,10.0676,32,36.79,0,0,31,35.64,1,1.15,1,1.15
England,0,1,0,Tendring,E07000076,145803,338,431.37,1.02,0.519,0.016,0.026,0.003,50.4,-0.485,0.578,1.394,4196,0,78.7,-0.206,0.611,2.499,2.59,0.532,2.183,0.765,11.75,-0.559,0.04,0.455,9.6639,43,29.492,1,0.686,39,26.748,1,0.686,4,2.743
England,0,1,0,Uttlesford,E07000077,89179,641,139.125,-0.691,0.51,0.014,0.037,0.003,44,-0.485,-1.424,0.391,0,0,50.6,-0.206,0.611,-0.464,-1.007,0.532,0.082,0.775,11.206,-0.559,0.04,0.455,9.8509,20,22.427,0,0,20,22.427,0,0,0,0
England,0,1,0,Cheltenham,E07000078,117090,47,2491.277,-0.437,0.509,0.031,0.059,0.005,40.2,-0.105,-0.423,-0.636,0,0,58.8,-0.193,0.629,-1.009,-0.736,0.536,-0.264,0.815,10.235,-0.559,0.664,0.498,9.7521,58,49.535,29,24.767,25,21.351,1,0.854,33,28.183
England,0,1,0,Cotswold,E07000079,89022,1165,76.414,-0.691,0.516,0.019,0.023,0.002,48.8,-0.105,-1.09,0.472,0,0,47.9,-0.193,0.629,0.359,0.099,0.536,1.155,0.838,9.406,-0.559,0.664,0.498,8.7012,21,23.59,3,3.37,16,17.973,0,0,5,5.617
England,0,1,0,Forest of Dean,E07000080,86543,526,164.53,-0.501,0.509,0.023,0.016,0.002,47.9,-0.105,-0.423,-0.164,0,0,59.9,-0.193,0.629,0.999,1.019,0.536,0.724,0.835,9.361,-0.559,0.664,0.498,8.2315,20,23.11,0,0,19,21.954,1,1.155,1,1.155
England,0,1,0,Gloucester,E07000081,129285,41,3153.293,0.407,0.506,0.014,0.109,0.006,38.9,-0.105,0.912,-0.514,0,0,85.7,-0.193,0.629,-0.367,-0.44,0.536,-0.605,0.815,10.139,-0.559,0.664,0.498,10.0707,46,35.58,14,10.829,25,19.337,7,5.414,21,16.243
England,0,1,0,Stroud,E07000082,119019,461,258.176,-0.691,0.508,0.011,0.022,0.002,46.4,-0.105,-0.757,1.635,0,0,48.4,-0.193,0.629,0.09,-0.093,0.536,0.586,0.828,9.922,-0.559,0.664,0.498,8.6826,34,28.567,7,5.881,25,21.005,1,0.84,9,7.562
England,0,1,0,Tewkesbury,E07000083,92599,414,223.669,-0.691,0.51,0.011,0.026,0.003,44.7,-0.105,-0.757,-0.114,0,0,59,-0.193,0.629,0.308,-0.211,0.536,0.625,0.8,10.583,-0.559,0.664,0.498,9.1591,32,34.558,9,9.719,21,22.678,2,2.16,11,11.879
England,0,1,0,Basingstoke and Deane,E07000084,175729,634,277.175,-0.691,0.506,0.008,0.072,0.004,41,0.052,-1.09,0.398,0,0.2,61.2,-0.614,0.149,-0.824,-1.002,0.083,-0.695,0.825,10.322,-0.559,0.491,0.619,10.0865,46,26.177,3,1.707,42,23.9,1,0.569,4,2.276
England,0,1,0,East Hampshire,E07000085,120681,514,234.788,-0.691,0.517,0.019,0.036,0.003,46.9,0.052,-1.09,0.488,0,0.2,46.6,-0.614,0.149,-0.025,-0.373,0.083,0.547,0.825,10.489,-0.559,0.491,0.619,9.4417,24,19.887,4,3.315,19,15.744,1,0.829,5,4.143
England,0,1,0,Eastleigh,E07000086,131819,80,1647.738,-0.691,0.513,0.007,0.054,0.003,42.2,0.052,-1.09,0.415,0,0.2,56,-0.614,0.149,-0.381,-0.578,0.083,-0.104,0.803,11.529,-0.559,0.491,0.619,10.6005,19,14.414,4,3.034,14,10.621,1,0.759,5,3.793
England,0,1,0,Fareham,E07000087,116339,74,1572.149,-0.691,0.511,0.013,0.033,0.003,46.3,0.052,-1.424,0.985,0,0.2,47.9,-0.614,0.149,0.266,-0.656,0.083,0.795,0.803,11.083,-0.559,0.491,0.619,10.5069,47,40.399,8,6.876,37,31.804,1,0.86,10,8.596
England,0,1,0,Gosport,E07000088,85283,25,3411.32,-0.511,0.502,0.01,0.036,0.004,42.2,0.052,0.912,0.284,0,0.2,69.3,-0.614,0.149,0.368,0.088,0.083,-0.013,0.8,11.119,-0.559,0.491,0.619,10.6211,27,31.659,4,4.69,23,26.969,0,0,4,4.69
England,0,1,0,Hart,E07000089,96293,215,447.874,-0.691,0.504,0.018,0.052,0.003,43.4,0.052,-1.758,0.523,0,0.2,39,-0.614,0.149,-1.061,-1.056,0.083,-0.098,0.803,11.226,-0.559,0.491,0.619,9.9825,22,22.847,1,1.038,20,20.77,0,0,2,2.077
England,0,1,0,Havant,E07000090,125813,55,2287.509,0.041,0.516,0.01,0.03,0.004,45.8,0.052,0.578,1.718,0,0.2,65.8,-0.614,0.149,0.933,1.453,0.083,0.908,0.805,11.333,-0.559,0.491,0.619,10.7341,42,33.383,8,6.359,34,27.024,0,0,8,6.359
England,0,1,0,New Forest,E07000091,179753,753,238.716,-0.691,0.519,0.017,0.026,0.003,50.4,0.052,-1.09,1.101,0,0.2,44.6,-0.614,0.149,1.736,0.792,0.083,1.873,0.805,11.018,1.758,0.491,0.619,9.1675,35,19.471,8,4.451,26,14.464,0,0,9,5.007
England,0,1,0,Rushmoor,E07000092,95142,39,2439.538,-0.691,0.495,0.02,0.153,0.013,38.3,0.052,0.578,-0.049,0,0.2,63.5,-0.614,0.149,-1.531,-0.881,0.083,-1.266,0.788,11.864,-0.559,0.491,0.619,10.9301,16,16.817,1,1.051,13,13.664,0,0,3,3.153
England,0,1,0,Test Valley,E07000093,125169,628,199.314,-0.691,0.512,0.016,0.042,0.003,44.9,0.052,-0.757,-0.91,0,0.2,54.4,-0.614,0.149,0.01,-0.49,0.083,0.274,0.825,10.671,-0.559,0.491,0.619,9.5998,16,12.783,3,2.397,13,10.386,0,0,3,2.397
England,0,1,0,Winchester,E07000094,124295,661,188.041,-0.691,0.513,0.043,0.045,0.004,43.4,0.052,-1.424,-0.034,0,0.2,48.3,-0.614,0.149,-0.664,-0.75,0.083,0.32,0.828,10.485,-0.559,0.491,0.619,9.5229,26,20.918,6,4.827,20,16.091,0,0,6,4.827
England,0,1,0,Broxbourne,E07000095,96876,51,1899.529,-0.691,0.516,0.004,0.1,0.007,40.1,-0.737,0.245,-0.371,0,0,62,-1.079,-0.188,-0.034,-0.531,-0.325,-0.226,0.763,11.758,-0.559,-0.326,0.455,10.7932,41,42.322,4,4.129,32,33.032,3,3.097,9,9.29
England,0,1,0,Dacorum,E07000096,154280,212,727.736,-0.691,0.509,0.014,0.096,0.004,40.6,-0.737,-0.423,0.749,0,0,56,-1.079,-0.188,-0.572,-0.686,-0.325,-0.188,0.818,10.178,1.812,-0.326,0.455,10.1425,46,29.816,8,5.185,35,22.686,3,1.945,11,7.13
England,0,1,0,Hertsmere,E07000098,104205,101,1031.733,-0.538,0.519,0.016,0.289,0.008,40.7,-0.737,-0.423,-0.026,0,0,53.3,-1.079,-0.188,-0.572,-0.636,-0.325,-0.035,0.778,10.931,-0.559,-0.326,0.455,10.8172,96,92.126,19,18.233,71,68.135,5,4.798,25,23.991
England,0,1,0,North Hertfordshire,E07000099,133214,375,355.237,-0.691,0.51,0.01,0.107,0.003,42.1,-0.737,-1.09,-0.059,0,0,54.1,-1.079,-0.188,-0.438,-0.563,-0.325,0.095,0.788,10.856,-0.559,-0.326,0.455,10.0752,29,21.769,6,4.504,22,16.515,0,0,7,5.255
England,0,1,0,Three Rivers,E07000102,93045,89,1045.449,-0.691,0.512,0.011,0.156,0.004,41.8,-0.737,-0.757,-0.463,0,0,53.1,-1.079,-0.188,0.107,-0.604,-0.325,0.207,0.785,11.037,-0.559,-0.326,0.455,10.5541,31,33.317,5,5.374,25,26.869,1,1.075,6,6.448
England,0,1,0,Watford,E07000103,96767,21,4607.952,-0.691,0.504,0.008,0.292,0.017,36.7,-0.737,0.245,-1.475,0,0,76.9,-1.079,-0.188,-1.422,-1.654,-0.325,-1.098,0.78,11.092,1.848,-0.326,0.455,11.1419,53,54.771,13,13.434,38,39.27,2,2.067,15,15.501
England,0,1,0,Ashford,E07000105,129281,581,222.515,-0.569,0.514,0.008,0.064,0.005,41.9,-0.46,-0.089,0.44,0,0.067,54.5,-0.169,0.577,0.012,0.444,0.453,-0.044,0.798,11.456,-0.559,-0.011,0.619,10.1286,27,20.885,9,6.962,16,12.376,1,0.774,11,8.509
England,0,1,0,Canterbury,E07000106,164553,309,532.534,-0.48,0.508,0.057,0.071,0.005,38,-0.46,-0.089,0.181,0,0.067,58,-0.169,0.577,-0.79,0.188,0.453,0.126,0.783,11.785,-0.559,-0.011,0.619,9.9628,28,17.016,4,2.431,20,12.154,1,0.608,8,4.862
England,0,1,0,Dartford,E07000107,109709,73,1502.863,-0.527,0.507,0.01,0.127,0.006,37.3,-0.46,-0.089,0.072,0,0.067,69.2,-0.169,0.577,-0.812,-0.583,0.453,-0.632,0.733,12.388,1.812,-0.011,0.619,12.1081,36,32.814,5,4.558,30,27.345,1,0.912,6,5.469
England,0,1,0,Dover,E07000108,116969,315,371.33,0.019,0.506,0.02,0.034,0.008,46.4,-0.46,0.912,1.503,24943,0.067,71,-0.169,0.577,1.159,2.008,0.453,0.655,0.793,11.421,-0.559,-0.011,0.619,9.7281,23,19.663,2,1.71,20,17.099,1,0.855,3,2.565
